#Expanded function
#Calculated using Holo_Multipol
#Intensity    Theta angle    Phi angle
0.12895 1718.87 12978.5
0.133009 1718.87 13210.2
0.168616 1718.87 13442
0.128116 1718.87 13673.7
0.143674 1718.87 13905.5
0.163611 1718.87 14137.3
0.118595 1718.87 14369
0.156202 1718.87 14600.8
0.155973 1718.87 14832.5
0.114789 1718.87 15064.3
0.153423 1718.87 15296
0.143746 1718.87 15527.8
0.111143 1718.87 15759.6
0.158598 1718.87 15991.3
0.133997 1718.87 16223.1
0.129537 1718.87 16454.8
0.170427 1718.87 16686.6
0.127786 1718.87 16918.3
0.144542 1718.87 17150.1
0.162911 1718.87 17381.9
0.11966 1718.87 17613.6
0.153738 1718.87 17845.4
0.15856 1718.87 18077.1
0.112046 1718.87 18308.9
0.154709 1718.87 18540.7
0.14402 1718.87 18772.4
0.111918 1718.87 19004.2
0.150825 1718.87 19235.9
0.137295 1718.87 19467.7
0.128203 1718.87 19699.4
0.167951 1718.87 19931.2
0.130083 1718.87 20163
0.145792 1718.87 20394.7
0.387486 1833.46 0
0.427344 1833.46 217.121
0.388153 1833.46 434.242
0.384735 1833.46 651.363
0.443603 1833.46 868.483
0.398193 1833.46 1085.6
0.407026 1833.46 1302.73
0.398578 1833.46 1519.85
0.37619 1833.46 1736.97
0.429553 1833.46 1954.09
0.409149 1833.46 2171.21
0.391771 1833.46 2388.33
0.402489 1833.46 2605.45
0.379537 1833.46 2822.57
0.40869 1833.46 3039.69
0.428711 1833.46 3256.81
0.385137 1833.46 3473.93
0.402714 1833.46 3691.05
0.390085 1833.46 3908.18
0.398168 1833.46 4125.3
0.449604 1833.46 4342.42
0.388358 1833.46 4559.54
0.391796 1833.46 4776.66
0.411919 1833.46 4993.78
0.388664 1833.46 5210.9
0.450813 1833.46 5428.02
0.398981 1833.46 5645.14
0.379326 1833.46 5862.26
0.431388 1833.46 6079.38
0.382092 1833.46 6296.5
0.429153 1833.46 6513.63
0.412873 1833.46 6730.75
0.377352 1833.46 6947.87
0.438327 1833.46 7164.99
0.384281 1833.46 7382.11
0.408244 1833.46 7599.23
0.431212 1833.46 7816.35
0.376489 1833.46 8033.47
0.437067 1833.46 8250.59
0.389226 1833.46 8467.71
0.396212 1833.46 8684.83
0.452988 1833.46 8901.96
0.379545 1833.46 9119.08
0.420583 1833.46 9336.2
0.401613 1833.46 9553.32
0.385703 1833.46 9770.44
0.464575 1833.46 9987.56
0.387707 1833.46 10204.7
0.398584 1833.46 10421.8
0.42177 1833.46 10638.9
0.381294 1833.46 10856
0.454291 1833.46 11073.2
0.390898 1833.46 11290.3
0.385122 1833.46 11507.4
0.433856 1833.46 11724.5
0.380948 1833.46 11941.6
0.43227 1833.46 12158.8
0.39925 1833.46 12375.9
0.379975 1833.46 12593
0.437935 1833.46 12810.1
0.378821 1833.46 13027.3
0.40989 1833.46 13244.4
0.422655 1833.46 13461.5
0.384929 1833.46 13678.6
0.431396 1833.46 13895.7
0.385095 1833.46 14112.9
0.388955 1833.46 14330
0.442653 1833.46 14547.1
0.395726 1833.46 14764.2
0.412014 1833.46 14981.3
0.396706 1833.46 15198.5
0.376922 1833.46 15415.6
0.434975 1833.46 15632.7
0.405897 1833.46 15849.8
0.394738 1833.46 16066.9
0.401794 1833.46 16284.1
0.378069 1833.46 16501.2
0.412902 1833.46 16718.3
0.423051 1833.46 16935.4
0.385924 1833.46 17152.5
0.40342 1833.46 17369.7
0.386496 1833.46 17586.8
0.400254 1833.46 17803.9
0.445479 1833.46 18021
0.386656 1833.46 18238.2
0.395478 1833.46 18455.3
0.405834 1833.46 18672.4
0.391164 1833.46 18889.5
0.453131 1833.46 19106.6
0.395975 1833.46 19323.8
0.381423 1833.46 19540.9
0.427864 1833.46 19758
0.382858 1833.46 19975.1
0.43547 1833.46 20192.2
0.409132 1833.46 20409.4
0.363793 1948.06 0
0.443989 1948.06 206.265
0.372463 1948.06 412.53
0.405326 1948.06 618.794
0.397903 1948.06 825.059
0.386389 1948.06 1031.32
0.412341 1948.06 1237.59
0.369713 1948.06 1443.85
0.435785 1948.06 1650.12
0.369267 1948.06 1856.38
0.409894 1948.06 2062.65
0.380849 1948.06 2268.91
0.398886 1948.06 2475.18
0.394522 1948.06 2681.44
0.37867 1948.06 2887.71
0.422171 1948.06 3093.97
0.372314 1948.06 3300.24
0.411261 1948.06 3506.5
0.36871 1948.06 3712.77
0.414554 1948.06 3919.03
0.380744 1948.06 4125.3
0.39139 1948.06 4331.56
0.407438 1948.06 4537.83
0.380625 1948.06 4744.09
0.410196 1948.06 4950.36
0.364304 1948.06 5156.62
0.429058 1948.06 5362.88
0.371162 1948.06 5569.15
0.407846 1948.06 5775.41
0.393534 1948.06 5981.68
0.392991 1948.06 6187.94
0.402938 1948.06 6394.21
0.366824 1948.06 6600.47
0.436789 1948.06 6806.74
0.365699 1948.06 7013
0.42364 1948.06 7219.27
0.380295 1948.06 7425.53
0.408459 1948.06 7631.8
0.389233 1948.06 7838.06
